year,country,quantity
1997,Luxembourg,173450
1997,Finland,1324830
1997,Sweden,2072620
1997,Greece,2276310
1997,Portugal,2337710
1997,Austria,2784040
1997,Denmark,4330120
1997,Belgium,4404740
1997,Ireland,6861260
1997,Netherlands,7680640
1997,Italy,10586190
1997,Spain,11265620
1997,United Kingdom,16554890
1997,Bulgaria,
1997,Czech Republic,
1997,Germany,
1997,Estonia,
1997,France,
1997,Cyprus,
1997,Latvia,
1997,Lithuania,
1997,Hungary,
1997,Malta,
1997,Poland,
1997,Romania,
1997,Slovenia,
1997,Slovakia,
1997,Norway,
1997,Switzerland,
2000,Luxembourg,172250
2000,Latvia,445100
2000,Slovenia,611100
2000,Slovakia,987450
2000,Finland,1216880
2000,Norway,1257820
2000,Sweden,1979550
2000,Greece,2540110
2000,Portugal,2551320
2000,Austria,2673930
2000,Hungary,3097540
2000,Belgium,4359330
2000,Denmark,4361770
2000,Ireland,6444300
2000,Netherlands,7348030
2000,Italy,9969560
2000,Spain,14994220
2000,United Kingdom,15816800
2000,Germany,19326200
2000,Cyprus,
2000,Lithuania,
2000,Malta,
2000,Poland,
2000,Romania,
2000,Switzerland,
2000,Bulgaria,
2000,Czech Republic,
2000,Estonia,
2000,France,
2003,Malta,48940
2003,Luxembourg,159420
2003,Cyprus,256760
2003,Estonia,326260
2003,Latvia,459760
2003,Slovenia,585750
2003,Slovakia,954180
2003,Lithuania,1174400
2003,Finland,1183320
2003,Norway,1255520
2003,Bulgaria,1628140
2003,Sweden,1838010
2003,Czech Republic,2280530
2003,Portugal,2354640
2003,Austria,2508220
2003,Greece,2628630
2003,Hungary,2669450
2003,Belgium,3956250
2003,Denmark,4541190
2003,Netherlands,6154240
2003,Ireland,6325050
2003,Romania,7248920
2003,Italy,10002190
2003,Poland,11171720
2003,Spain,14174630
2003,United Kingdom,14442610
2003,Germany,18673630
2003,France,23316190
2003,Switzerland,
2005,Malta,46140
2005,Luxembourg,157830
2005,Cyprus,243900
2005,Estonia,316060
2005,Latvia,456260
2005,Slovenia,523510
2005,Slovakia,782710
2005,Finland,1157550
2005,Norway,1257220
2005,Lithuania,1290470
2005,Bulgaria,1327020
2005,Switzerland,1767750
2005,Sweden,1835010
2005,Portugal,2069790
2005,Czech Republic,2074380
2005,Austria,2453730
2005,Greece,2479650
2005,Hungary,2502090
2005,Belgium,3884560
2005,Denmark,4565550
2005,Ireland,6220360
2005,Netherlands,6388100
2005,Romania,6602750
2005,Italy,9563730
2005,Poland,10564750
2005,United Kingdom,14330310
2005,Spain,14452370
2005,Germany,18149190
2005,France,22703120
2007,Malta,49630
2007,Luxembourg,160820
2007,Cyprus,246660
2007,Estonia,313200
2007,Latvia,487870
2007,Slovenia,553590
2007,Slovakia,747210
2007,Lithuania,1030890
2007,Finland,1152090
2007,Bulgaria,1245980
2007,Norway,1267600
2007,Sweden,1784810
2007,Portugal,2030050
2007,Czech Republic,2052810
2007,Hungary,2409330
2007,Austria,2473240
2007,Greece,2626560
2007,Belgium,3787770
2007,Denmark,4582160
2007,Ireland,5918340
2007,Romania,6041720
2007,Netherlands,6415200
2007,Italy,9900670
2007,Poland,11117920
2007,United Kingdom,13944250
2007,Spain,14380700
2007,Germany,17985170
2007,France,22543650
2007,Switzerland,
